Dataset,Rotation_frob_mean,Rotation_deg_mean,Translation_mean,Translation_median,optTime,finalTime
Vienna_Cathedral,0.11405168468334,4.73283442059223,10.3442925274587,4.32325074913567,92.3216475,391.8205368
Piazza_del_Popolo,0.0594528604416446,2.40981429349215,7.53317680925866,3.5432513966114,34.0763705,73.7906161
NYC_Library,0.119972604384353,4.87509979917424,3.38334786382229,2.23147333069368,36.4765845,86.3922637
Alamo,0.075121986626623,3.04890387186468,2.6433710660373,1.20804934047644,62.1027746,232.1706383
Madrid_Metropolis,0.300003391643242,15.6613490982771,16.2828908459542,7.27107221067637,20.2066355,28.4549787
Yorkminster,0.149890935943203,6.6342542132017,11.2919738235826,3.26199800161191,41.8112535,113.0278772
Montreal_Notre_Dame,0.060808468383144,2.46519010037628,1.93402529201284,1.01528228244898,57.8600815,429.2353842
Tower_of_London,0.125006990922986,5.07312287997973,11.1992210397709,5.03371636135947,55.3692295,164.067482
Ellis_Island,0.0636077566466317,2.57838693605132,14.1334479141082,6.17433328543352,27.9380971,111.6527799
Notre_Dame,0.0618998153436672,2.50907863042997,1.83711878563513,0.82246074173364,68.1740727,686.1650641
